GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP
2400509-010,9023,7982,4791,415,1913,81,853,12,3191
2400509-026,2218,1761,1136,157,349,41,130,3,625
2400514-008,5013,3755,1019,136,2510,71,65,5,2736
2400514-009,7124,5535,1468,559,2931,76,547,7,4067
2400509-006,3785,3365,1649,214,1279,32,234,5,1716
2400509-005,4581,3757,3066,124,289,42,231,3,691
2400515-018,3629,2839,1777,183,736,77,47,14,1062
2400513-006,1813,1348,839,144,242,33,98,2,509
2400508-013,3609,2805,2173,150,110,34,334,2,632
2400503-007,7063,4428,3546,158,336,28,305,2,882
2400514-012,2774,2261,1764,102,192,72,96,2,497
2400501-004,5738,4608,1147,306,1902,55,1238,3,3461
2400501-003,4645,3801,1190,160,1387,56,1041,3,2611
2400501-010,4202,3247,2364,189,447,52,194,11,883
2451026-024,3068,2446,139,45,2211,24,56,2,2307
2451027-026,1478,1285,238,36,963,6,40,0,1047
2451013-007,1585,1261,59,27,1175,26,11,1,1202
2451015-002,1318,1020,61,21,926,11,9,2,959
2451027-067,3991,2961,797,598,1471,48,58,1,2164
2451011-002,760,723,232,59,314,21,120,1,491
2451012-012,2293,1999,706,127,1060,57,98,1,1293
2451027-013,4573,3505,698,148,2563,56,69,10,2807
2401917-001,206,166,99,15,40,8,5,0,67
2401917-002,45,35,33,0,2,0,0,0,2
2401904-001,208,184,171,1,5,5,2,0,13
2401905-001,263,217,191,0,12,9,5,0,26
2400303-021,3662,2758,2245,101,251,44,90,0,513
2403113-067,2451,1822,949,280,488,38,93,1,873
2403110-005,3212,2415,1470,126,96,12,686,1,945
2403102-002,6818,4889,1674,743,1168,109,1293,5,3215
2403104-017,4835,4227,2698,338,449,23,685,7,1529
2403104-010,4460,3689,2247,416,349,32,576,18,1442
2403108-012,4195,3124,1806,221,492,39,572,5,1318
2403109-025,3313,2615,741,440,493,42,914,3,1874
2403113-003,2840,2258,1731,177,205,38,110,8,527
2400503-001,4595,3791,365,123,3245,74,62,22,3426
2400515-016,4072,3149,2099,249,629,87,94,7,1050
2400501-001,6233,4831,662,426,3478,110,226,6,4169
2400501-005,5880,4683,1020,555,2471,87,609,10,3663
2400511-003,5021,4150,3827,110,61,44,62,12,323
2400515-022,4542,3611,3247,65,110,116,46,4,364
2400513-003,4153,3254,2472,140,326,79,239,4,782
2400515-019,4541,3841,3265,81,369,56,52,2,576
2451027-064,2604,1832,1223,63,400,13,81,0,609
2451027-063,2614,1879,799,52,934,21,60,5,1080
2403113-058,6207,4773,2180,1108,949,132,493,13,2593
2403104-002,4717,3772,2197,317,412,40,809,5,1575
2403104-003,6511,5325,3063,506,594,69,1093,13,2262
2403113-059,2950,2336,1011,402,662,42,260,2,1325
2400301-017,2537,1852,1133,221,385,49,68,6,719
2402307-001,2403,1946,1863,22,16,18,9,3,83
2402314-001,2838,2385,2290,18,25,25,21,10,95
2402306-001,2298,1923,1702,43,112,37,29,6,221
2403107-028,2569,1879,1292,151,73,18,333,2,587
2403110-003,3419,2562,1681,168,138,22,530,5,881
2403107-012,3856,2792,2153,196,74,37,325,4,639
2404707-001,6918,6271,5557,295,163,91,139,2,714
24047ZZZZZZ,0,0,0,0,0,0,0,0,0
2404704-001,3235,2603,2218,62,257,41,28,1,385
2404704-003,588,477,409,23,20,8,11,2,68
2404702-002,1967,1584,680,72,793,20,15,1,904
2404702-005,2961,2138,1171,146,765,26,26,0,967
